"","pairs","Winner","varfd","varty","vartur","varrushes","varrushyd","varrushtd","varpasscom","varpassatt","varpasstd","varpassint","vartotfum","varfumlost","varpenalties","varpenyds"
"88",88,"ohio-state",0.0909090909090909,0.275423728813559,0.4,0.210526315789474,0.492239467849224,0.4,0.146341463414634,0,0,1,2,2,0,0.4
"89",89,"oregon",0.0689655172413793,0.190231362467866,0.857142857142857,0.142857142857143,0.503118503118503,1.33333333333333,0.109090909090909,0.285714285714286,0.666666666666667,0,1.11111111111111,1.2,0,0.0408163265306122
"90",90,"missouri",0.0540540540540541,0.151177199504337,0.4,0.307692307692308,1.04288939051919,0.666666666666667,0.588235294117647,0.538461538461538,0.666666666666667,2,2,2,1,1
"91",91,"michigan-state",0.148148148148148,0.054625550660793,0.666666666666667,0.705882352941177,1.68992248062015,1.2,0.426229508196721,0.212765957446809,0.666666666666667,0.666666666666667,0,NA,0.444444444444444,0.333333333333333
"92",92,"wisconsin",0.384615384615385,0.179916317991632,2,0.22680412371134,0.584814216478191,0.4,0.133333333333333,0.16,0.666666666666667,2,NA,NA,1,0.912621359223301
"93",93,"georgia-tech",0.23728813559322,0.0473773265651438,0.666666666666667,0.595744680851064,0.993377483443709,1.42857142857143,1.3,1.23809523809524,1,0,0,2,0.5,0.117647058823529
"94",94,"boise-state",0.274509803921569,0.043613707165109,0,0.488888888888889,0.0313479623824451,0.4,0.153846153846154,0.352941176470588,0,0.666666666666667,2,2,0,0.267716535433071
"95",95,"texas-christian",0.823529411764706,1.06521739130435,0,0.126582278481013,1.80645161290323,2,0.842105263157895,0.3125,2,0,0,0,0.181818181818182,0.222222222222222
"96",96,"stanford",0.588235294117647,0.60377358490566,0,0.5,1.69506726457399,0.666666666666667,0.181818181818182,0.0377358490566038,2,2,0,2,0.857142857142857,1.39130434782609
"97",97,"georgia",0.0952380952380952,0.292849035187287,0.4,0.632911392405063,1.32425068119891,1,0.4,0.588235294117647,0,1,2,2,0.545454545454545,0.315789473684211
"98",98,"notre-dame",0.3,0.0293785310734463,2,0.292134831460674,0.0802919708029197,0.4,0.88,0.6,0,NA,0,2,0,0.727272727272727
"99",99,"arkansas",0.962962962962963,1.42439024390244,2,0.941176470588235,1.95854922279793,0,0.08,0.0833333333333333,2,2,0.666666666666667,2,0.857142857142857,0.775510204081633
"100",100,"clemson",0.256410256410256,0.338368580060423,2,0.301369863013699,0.866666666666667,0,0.418604651162791,0,2,2,0.666666666666667,2,0.666666666666667,1.2
"101",101,"texas-a&m",0.285714285714286,0.113886113886114,0,0.4,0.60387811634349,2,0.0952380952380952,0.25,0.285714285714286,2,0,2,0.133333333333333,0.775510204081633
"102",102,"southern-california",0.24,0.0192307692307692,0,0.233766233766234,0.29585798816568,0,0.327272727272727,0.266666666666667,0,0,2,NA,0.526315789473684,0.732394366197183
"103",103,"penn-state",0.439024390243902,0.159713945172825,2,0.453333333333333,1.11590296495957,2,1.02222222222222,0.857142857142857,0.666666666666667,NA,2,2,0.105263157894737,0.471337579617834
"104",104,"south-carolina",0.27027027027027,0.175257731958763,2,0.285714285714286,1.02439024390244,0,0.146341463414634,0.0298507462686567,0.666666666666667,2,0.666666666666667,2,0,0.415841584158416
"105",105,"arizona-state",0.0465116279069767,0.0202020202020202,2,0.227848101265823,0.082018927444795,2,0.341463414634146,0.0298507462686567,0.4,2,0.666666666666667,2,0.666666666666667,1.11111111111111
"106",106,"virginia-tech",0.0540540540540541,0.376670716889429,1,0.285714285714286,0.372881355932203,2,0.181818181818182,0.387096774193548,0.666666666666667,0.666666666666667,0.666666666666667,2,0.545454545454545,0.703703703703704
